Humid,Temp,Condition
43.12,16.55,1
44.1173,16.5767,1
44.8533,16.5967,1
45.4293,16.628,1
45.648,16.7,1
46.2827,16.7573,1
46.6693,16.784,1
47.2533,16.87,1
47.8293,16.918,1
48.48,17.0033,1
48.3893,17.054,1
48.6133,17.126,1
48.44,17.1873,1
48.8907,17.2507,1
48.6213,17.4233,1
47.824,17.76,1
47.256,18.216,1
45.4533,18.6733,1
46.1173,19.0293,1
43.9947,19.4533,1
42.8987,20.0453,1
41.0347,20.4813,1
38.6947,20.9947,1
34.008,21.64,0
33.7453,22.16,0
34.712,22.436,0
33.8093,22.768,0
33.36,22.9973,0
32.3573,23.2707,0
31.616,23.676,0
31.4213,24.052,0
30.448,24.3147,0
28.3173,24.1587,0
27.5707,23.9373,0
27.2387,23.7373,0
26.8213,23.5813,0
26.688,23.56,0
26.268,23.68,0
26.6907,24.0653,0
26.5,24.496,0
26.436,24.728,0
27.0307,25.0973,0
26.8453,25.3453,0
27.172,25.6453,0
25.4973,25.916,0
25.424,25.904,0
26.2653,25.9653,0
26.5747,26.1787,0
25.2147,26.2267,0
24.3973,26.0093,0
23.8587,25.7013,0
24.072,25.456,0
23.776,25.2067,0
23.972,24.94,0
24.052,24.6787,0
24.3293,24.4173,0
24.4413,24.144,0
24.5493,23.9213,0
24.5693,23.6707,0
24.684,23.3613,0
24.924,23.0693,0
25.2307,22.8013,0
25.6973,22.5213,0
26.2573,22.248,0
26.6067,21.976,0
27.06,21.7427,0
27.524,21.532,0
28.0747,21.3253,0
28.912,21.1467,0
30.36,20.684,0
30.68,20.5,0
31.1747,20.484,0
32.0453,20.378,0
33.356,20.1687,0
34.9533,19.7027,1
34.996,19.7033,1
35.3867,19.6227,1
35.7413,19.5147,1
36.3333,19.3587,1
36.6973,19.2247,1
37.3387,19.0727,1
37.8173,18.9707,1
38.12,18.8867,1
38.2453,18.804,1
38.396,18.73,1
38.5493,18.622,1
38.6573,18.5233,1
38.6627,18.4327,1
38.72,18.3307,1
39.048,18.1927,1
38.928,18.108,1
38.7747,18.0667,1
39.0667,17.9873,1
39.2787,17.8967,1
39.528,17.81,1
39.8733,17.7033,1
40.1933,17.5947,1
39.824,17.53,1
39.6733,17.506,1
39.784,17.4613,1
39.9493,17.3667,1
40.3693,17.31,1
40.472,17.246,1
40.6547,17.1847,1
41,17.1053,1
41.0053,17.0267,1
41.44,16.9867,1
41.5293,17.0253,1
41.1827,17.176,1
41.18,17.3053,1
42.3573,17.326,1
41.616,17.3713,1
39.8947,17.7387,1
38.992,18.1693,1
38.572,18.5067,1
37.7173,19.0413,1
36.948,19.6347,1
36.3427,20.1727,1
35.6147,20.708,1
35.6173,20.7107,1
35.704,20.44,1
35.0053,20.972,1
33.6773,21.8613,1
33.812,22.2893,0
33.152,22.6587,0
32.7573,22.9973,0
32.24,23.416,0
31.528,23.8453,0
30.1413,24.4627,0
27.6813,25.5747,0
22.2467,29.3933,0
23.7973,28.1293,0
25.9347,26.6373,0
25.9147,26.7107,0
26.1427,26.7013,0
25.124,27.1947,0
24.6693,27.4333,0
25.0573,26.7187,0
27.5787,26.52,0
28.284,26.8267,0
28.004,26.9427,0
27.9827,26.9293,0
26.9587,26.4947,0
27.9587,26.1333,0
28.0987,26.0493,0
27.8013,25.7493,0
28.648,25.3187,0
29.476,24.9733,0
29.448,24.66,0
29.48,24.34,0
29.584,24.0973,0
29.628,23.8893,0
29.912,23.7173,0
30.2453,23.5893,0
29.9907,23.4587,0
29.7907,23.2933,0
29.9147,23.1,0
30.252,22.9133,0
30.6427,22.728,0
30.66,22.5293,0
30.644,22.296,0
31.3667,22.1013,0
32.044,21.9227,0
32.584,21.7533,0
33.1507,21.5107,0
33.8,21.2773,0
34.516,21.0773,0
35.3307,20.8093,0
35.656,20.588,0
36.2613,20.376,0
36.3693,20.15,0
36.4467,19.9653,1
36.9707,19.7387,1
37.544,19.4593,1
37.944,19.2113,1
37.9707,18.994,1
37.1173,18.8733,1
37.1013,18.772,1
37.2027,18.71,1
37.268,18.6533,1
37.252,18.5693,1
37.5253,18.4767,1
38.04,18.3647,1
38.6227,18.256,1
39.0947,18.1413,1
39.2533,18.03,1
39.3013,17.916,1
39.48,17.7993,1
39.7693,17.6653,1
40.7333,17.528,1
41.296,17.38,1
41.3973,17.202,1
41.824,17.0587,1
42.008,16.9193,1
41.928,16.7807,1
41.856,16.6867,1
41.904,16.5607,1
41.9307,16.4467,1
41.8613,16.36,1
42.16,16.2553,1
42.6187,16.142,1
43.0693,16.03,1
42.4853,16.0173,1
42.3067,16.06,1
42.1173,16.1673,1
41.272,16.332,1
40.356,16.5647,1
39.716,16.8587,1
39.244,17.194,1
38.7067,17.618,1
38.064,18.128,1
37.5307,18.6453,1
37.016,19.1653,1
36.428,19.6687,1
35.652,20.4013,1
34.9107,21.1467,1
34.512,21.6707,0
34.2333,22.1693,0
33.7067,22.7333,0
33.2573,23.24,0
32.8053,23.6147,0
32.9067,23.8227,0
32.4667,24.22,0
31.7053,24.74,0
31.432,25.2427,0
31.148,25.6173,0
30.5493,26.104,0
29.964,26.6947,0
29.26,26.688,0
30.0467,26.88,0
30.1467,27.2973,0
27.0347,27.6667,0
25.496,28.3333,0
25.272,29.0653,0
25.256,28.776,0
26.752,28.2827,0
27.7373,28.1893,0
28.6107,28.3173,0
29.04,28.156,0
29.0227,27.8333,0
29.3627,27.548,0
29.5213,27.2747,0
29.9387,26.9933,0
30.1067,26.7133,0
31.4573,26.3387,0
32.2933,25.92,0
32.5427,25.6307,0
32.744,25.4027,0
33.0747,25.1907,0
33.5293,24.936,0
33.9253,24.7187,0
34.4653,24.54,0
34.8133,24.3507,0
35.0707,24.1373,0
35.14,23.9187,0
35.14,23.7387,0
35.2507,23.552,0
35.5507,23.372,0
36.2,23.176,0
36.7587,23.02,0
37.1387,22.88,0
37.32,22.7467,0
37.6027,22.604,0
37.9867,22.4293,0
38.4507,22.276,0
38.7667,22.144,0
39.168,22.0147,0
39.792,21.8787,0
40.3213,21.7667,1
40.8907,21.6573,1
41.4773,21.568,0
42.04,21.4453,0
42.336,21.3347,0
42.648,21.248,0
42.9547,21.1747,0
43.512,21.1,0
43.736,21.012,0
44.008,20.928,1
44.304,20.832,1
